Campaign,Ad group,Keyword,Match type,Status,Monthly Searches,Competition,Notes
DST - Bulk/Party,Chennai Localities,catering services perambur,Phrase,Enabled,10,LOW,Locality
DST - Bulk/Party,Chennai Localities,catering services valasaravakkam,Phrase,Enabled,10,LOW,Locality
DST - Bulk/Party,Chennai Localities,velachery catering service,Phrase,Enabled,10,UNKNOWN,Locality
DST - Bulk/Party,Chennai Localities,pallikaranai catering services,Phrase,Enabled,0,UNKNOWN,Locality - brand defense
DST - Bulk/Party,Chennai Localities,catering services in guduvancheri,Phrase,Enabled,0,UNKNOWN,Locality - brand defense
DST - Bulk/Party,Chennai Localities,catering services kk nagar,Phrase,Enabled,0,UNKNOWN,Locality - brand defense
DST - Bulk/Party,Chennai Localities,catering services tambaram,Phrase,Enabled,0,UNKNOWN,Locality - brand defense
DST - Bulk/Party,Chennai Localities,catering services chrompet,Phrase,Enabled,0,UNKNOWN,Locality - brand defense
DST - Bulk/Party,Chennai Localities,catering services sholinganallur,Phrase,Enabled,0,UNKNOWN,Locality - brand defense
DST - Bulk/Party,Chennai Localities,shero home food mylapore,Exact,Enabled,10,UNKNOWN,BRAND - must defend
DST - Bulk/Party,Chennai Localities,shero home food mogappair,Exact,Enabled,10,UNKNOWN,BRAND - must defend
DST - Bulk/Party,Chennai Localities,shero home food velachery,Exact,Enabled,10,UNKNOWN,BRAND - must defend
DST - Bulk/Party,Chennai Localities,shero home food madipakkam,Exact,Enabled,0,UNKNOWN,BRAND - must defend
DST - Bulk/Party,Chennai Localities,shero home food chennai menu,Exact,Enabled,0,UNKNOWN,BRAND - must defend
DST - Bulk/Party,Naming Ceremony,namakaranam catering,Phrase,Enabled,0,UNKNOWN,Regional language - low risk
DST - Bulk/Party,Naming Ceremony,barsa catering,Phrase,Enabled,0,UNKNOWN,Telugu - low risk
DST - Bulk/Party,Baby Shower,seemantham catering,Phrase,Enabled,0,UNKNOWN,South Indian - low risk
DST - Bulk/Party,Baby Shower,valaikappu catering,Phrase,Enabled,10,UNKNOWN,Tamil
DST - Bulk/Party,Baby Shower,godh bharai catering,Phrase,Enabled,0,UNKNOWN,Hindi - low risk
DST - Bulk/Party,Home Pooja,satyanarayan pooja catering,Phrase,Enabled,0,UNKNOWN,Pooja-specific - low risk
DST - Bulk/Party,Home Pooja,griha pravesh pooja catering,Phrase,Enabled,0,UNKNOWN,Pooja-specific - low risk
DST - Bulk/Party,Home Pooja,sattvic catering home,Phrase,Enabled,0,UNKNOWN,Veg-specific - low risk
DST - Bulk/Party,House Warming,griha pravesham catering,Phrase,Enabled,0,UNKNOWN,Tamil/Telugu - low risk
DST - Bulk/Party,Veg Biryani,veg biryani catering,Phrase,Enabled,10,HIGH,Veg-specific
