Action,Campaign,Ad Group,Keyword,Match Type,Reason
Remove,DST - Bulk/Party,Anniversary Event,marriage function catering Bangalore,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding food order Bangalore,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding lunch catering Bangalore,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Anniversary Event,wedding and catering services Bangalore,PHRASE,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,small wedding catering,EXACT,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,marriage function catering,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding catering Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,best wedding caterers Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding catering Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,best wedding caterers Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding and catering services Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,food for wedding anniversary Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding caterers near me Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding biryani catering Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,marriage function catering Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding food order Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding reception catering Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding lunch catering Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding dining Hyderabad,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding reception catering Chennai,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding lunch catering Chennai,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding food order Chennai,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding caterers near me Chennai,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding caterers near me Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,marriage function catering Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding biryani catering Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding food order Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding reception catering Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Home Party,wedding lunch catering Bangalore,BROAD,Wedding/marriage term — removed per business decision
Remove,DST - Bulk/Party,Office Party,Office Party,EXACT,"Ad-group-name as Exact/Phrase — too broad, captures research intent"
Remove,DST - Bulk/Party,Naming Ceremony,Naming Ceremony,EXACT,"Ad-group-name as Exact/Phrase — too broad, captures research intent"
Remove,DST - Bulk/Party,Home Party,home party,EXACT,"Ad-group-name as Exact/Phrase — too broad, captures research intent"
Remove,DST - Bulk/Party,Baby Shower,Baby Shower,PHRASE,"Ad-group-name as Exact/Phrase — too broad, captures research intent"
Remove,DST - Bulk/Party,House Warming,House Warming,EXACT,"Ad-group-name as Exact/Phrase — too broad, captures research intent"
Remove,DST - Bulk/Party,Home Pooja,Home Pooja,EXACT,"Ad-group-name as Exact/Phrase — too broad, captures research intent"
Remove,DST - Bulk/Party,Naming Ceremony,party catering,PHRASE,Misdirected in Naming Ceremony ad group
Remove,DST - Bulk/Party,Naming Ceremony,party platters,PHRASE,Misdirected in Naming Ceremony ad group
Remove,DST - Bulk/Party,Naming Ceremony,birthday catering,PHRASE,Misdirected in Naming Ceremony ad group
Remove,DST - Bulk/Party,Office Party,home party catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,home party catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,home party catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,home party catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,catering for small group,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,catering for small group,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,catering for small group,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,catering for small group,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,small function catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,small function catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,small function catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,small function catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,food for small gathering,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,food for small gathering,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,food for small gathering,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,food for small gathering,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,catering for 20 people,PHRASE,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Naming Ceremony,catering for 20 people,PHRASE,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Birthday Event,catering for 20 people,PHRASE,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Home Party,catering for 20 people,PHRASE,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Office Party,food for small party,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,food for small party,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,food for small party,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,food for small party,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,catering for 10 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Naming Ceremony,catering for 10 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Birthday Event,catering for 10 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Home Party,catering for 10 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Office Party,catering for 15 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Naming Ceremony,catering for 15 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Birthday Event,catering for 15 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Home Party,catering for 15 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Office Party,catering for 40 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Naming Ceremony,catering for 40 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Birthday Event,catering for 40 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Home Party,catering for 40 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Office Party,catering for 50 people,PHRASE,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Naming Ceremony,catering for 50 people,PHRASE,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Birthday Event,catering for 50 people,PHRASE,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Home Party,catering for 50 people,PHRASE,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Office Party,small party food catering,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,small party food catering,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,small party food catering,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,small party food catering,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,catering for 25 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Naming Ceremony,catering for 25 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Birthday Event,catering for 25 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Home Party,catering for 25 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Office Party,food for 30 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Naming Ceremony,food for 30 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Birthday Event,food for 30 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Home Party,food for 30 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Office Party,small party catering near me,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,small party catering near me,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,small party catering near me,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,small party catering near me,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,catering for 30 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Naming Ceremony,catering for 30 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Birthday Event,catering for 30 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Home Party,catering for 30 people,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Office Party,home party catering near me,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,home party catering near me,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,home party catering near me,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,home party catering near me,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,small gathering catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,small gathering catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,small gathering catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,small gathering catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,mini catering service,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,mini catering service,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,mini catering service,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,mini catering service,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,food for 50 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Naming Ceremony,food for 50 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Birthday Event,food for 50 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Home Party,food for 50 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Office Party,food for 20 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Naming Ceremony,food for 20 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Birthday Event,food for 20 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Home Party,food for 20 guests,EXACT,Duplicate across ad groups — keep only in Anniversary Event
Remove,DST - Bulk/Party,Office Party,intimate dinner catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,intimate dinner catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,intimate dinner catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,intimate dinner catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,intimate event catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,intimate event catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,intimate event catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,intimate event catering,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,home party food for 20 people,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,home party food for 20 people,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,home party food for 20 people,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,home party food for 20 people,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,birthday food for 20 people,EXACT,Duplicate across ad groups — keep only in Birthday Event
Remove,DST - Bulk/Party,Naming Ceremony,birthday food for 20 people,EXACT,Duplicate across ad groups — keep only in Birthday Event
Remove,DST - Bulk/Party,Anniversary Event,birthday food for 20 people,EXACT,Duplicate across ad groups — keep only in Birthday Event
Remove,DST - Bulk/Party,Home Party,birthday food for 20 people,EXACT,Duplicate across ad groups — keep only in Birthday Event
Remove,DST - Bulk/Party,Office Party,small family gathering catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,small family gathering catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,small family gathering catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,small family gathering catering,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,house party catering for 20,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,house party catering for 20,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,house party catering for 20,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,house party catering for 20,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,small function food,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,small function food,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,small function food,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,small function food,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,small event food order,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,small event food order,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,small event food order,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,small event food order,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Office Party,catering for few people,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Naming Ceremony,catering for few people,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,catering for few people,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,catering for few people,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,small party caterers in chennai,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,small party caterers in chennai,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Baby Shower,small party caterers in chennai,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,home catering delivery,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,home catering delivery,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Baby Shower,home catering delivery,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,best caterers in Bangalore,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,best caterers in Bangalore,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,party food order near me,EXACT,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,party food order near me,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,best caterers in Hyderabad,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,best caterers in Hyderabad,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,corporate catering Bangalore,BROAD,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Anniversary Event,corporate catering Bangalore,PHRASE,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Home Party,corporate catering Bangalore,BROAD,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Birthday Event,catering services Hyderabad,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,catering services Hyderabad,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,griha pravesh catering,BROAD,Duplicate across ad groups — keep only in House Warming
Remove,DST - Bulk/Party,Anniversary Event,griha pravesh catering,PHRASE,Duplicate across ad groups — keep only in House Warming
Remove,DST - Bulk/Party,Home Party,griha pravesh catering,BROAD,Duplicate across ad groups — keep only in House Warming
Remove,DST - Bulk/Party,Birthday Event,corporate catering Hyderabad,BROAD,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Anniversary Event,corporate catering Hyderabad,PHRASE,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Home Party,corporate catering Hyderabad,BROAD,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Birthday Event,affordable catering Bangalore,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,affordable catering Bangalore,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,function catering Bangalore,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,function catering Bangalore,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Birthday Event,housewarming catering Bangalore,BROAD,Duplicate across ad groups — keep only in House Warming
Remove,DST - Bulk/Party,Anniversary Event,housewarming catering Bangalore,PHRASE,Duplicate across ad groups — keep only in House Warming
Remove,DST - Bulk/Party,Home Party,housewarming catering Bangalore,BROAD,Duplicate across ad groups — keep only in House Warming
Remove,DST - Bulk/Party,Birthday Event,office party catering Bangalore,BROAD,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Anniversary Event,office party catering Bangalore,PHRASE,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Home Party,office party catering Bangalore,BROAD,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Birthday Event,catering near me Bangalore,BROAD,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,catering near me Bangalore,PHRASE,Duplicate across ad groups — keep only in Home Party
Remove,DST - Bulk/Party,Anniversary Event,birthday party catering Hyderabad,PHRASE,Duplicate across ad groups — keep only in Birthday Event
Remove,DST - Bulk/Party,Home Party,birthday party catering Hyderabad,BROAD,Duplicate across ad groups — keep only in Birthday Event
Remove,DST - Bulk/Party,Anniversary Event,catering for birthday party Bangalore,PHRASE,Duplicate across ad groups — keep only in Birthday Event
Remove,DST - Bulk/Party,Home Party,catering for birthday party Bangalore,BROAD,Duplicate across ad groups — keep only in Birthday Event
Remove,DST - Bulk/Party,Birthday Event,office lunch catering Bangalore,BROAD,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Anniversary Event,office lunch catering Bangalore,PHRASE,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Home Party,office lunch catering Bangalore,BROAD,Duplicate across ad groups — keep only in Office Party
Remove,DST - Bulk/Party,Birthday Event,home catering services Hyderabad,BROAD,Duplicate across ad groups — keep only in Home Party
